7.46	15.75, 15.75, 48.26, 36.55
Traj: 0	0.56, 1.29, 0.56, 1.28, 0.56, 1.28, 0.00, 0.00	-9.15, 7.26	15.75, 15.75, 47.92, 36.44
Traj: 0	0.56, 1.29, 0.56, 1.28, 0.56, 1.28, 0.00, 0.00	-9.12, 7.24	15.75, 15.75, 47.88, 36.43
Traj: 0	0.56, 1.29, 0.56, 1.28, 0.56, 1.28, 0.00, 0.00	-9.09, 7.25	15.75, 15.75, 47.86, 36.39
0,0,0,0,8,8,8,8,-2.72, -2.44, -1.18, -1.40, 	 0.00, -0.02,  0.00,  0.03, 	0.20, 0.20, 0.61, 0.46, 	0.56,1.29, 0.56,1.28, -0.06,0.04,0.00,-0.00
Traj: 0	0.56, 1.29, 0.56, 1.28, 0.56, 1.28, 0.00, 0.00	-9.07, 7.24	15.75, 15.75, 47.83, 36.38
Traj: 0	0.56, 1.29, 0.56, 1.28, 0.56, 1.28, 0.00, 0.00	-9.04, 7.23	15.75, 15.75, 47.79, 36.35
Traj: 0	0.56, 1.29, 0.56, 1.28, 0.56, 1.28, 0.00, 0.00	-9.05, 7.22	15.75, 15.75, 47.79, 36.36
Traj: 0	0.56, 1.29, 0.56, 1.28, 0.56, 1.28, 0.00, 0.00	-9.06, 7.22	15.75, 15.75, 47.80, 36.37
Traj: 0	0.56, 1.29, 0.56, 1.28, 0.56, 1.28, 0.00, 0.00	-9.05, 7.22	15.75, 15.75, 47.78, 36.36
0,0,0,0,8,8,8,8,-2.72, -2.44, -1.18, -1.40, 	 0.00,  0.00,  0.00,  0.00, 	0.20, 0.20, 0.61, 0.46, 	0.56,1.29, 0.56,1.28, -0.06,0.04,0.00,-0.00
Traj: 0	0.56, 1.29, 0.56, 1.28, 0.56, 1.28, 0.00, 0.00	-9.01, 7.20	15.75, 15.75, 47.73, 36.33
Traj: 0	0.56, 1.29, 0.56, 1.28, 0.56, 1.28, 0.00, 0.00	-8.99, 7.20	15.75, 15.75, 47.71, 36.31
Traj: 0	0.56, 1.29, 0.56, 1.28, 0.56, 1.28, 0.00, 0.00	-8.98, 7.20	15.75, 15.75, 47.69, 36.29
Traj: 0	0.56, 1.29, 0.56, 1.28, 0.56, 1.28, 0.00, 0.00	-8.97, 7.20	15.75, 15.75, 47.69, 36.29
0,0,0,0,8,8,8,8,-2.72, -2.44, -1.18, -1.40, 	 0.02,  0.00,  0.00,  0.00, 	0.20, 0.20, 0.61, 0.46, 	0.56,1.29, 0.56,1.28, -0.06,0.04,0.00,-0.00
Traj: 0	0.56, 1.29, 0.56, 1.28, 0.56, 1.28, 0.00, 0.00	-8.94, 7.19	15.75, 15.75, 47.65, 36.26
Traj: 0	0.56, 1.29, 0.56, 1.28, 0.56, 1.28, 0.00, 0.00	-8.91, 7.19	15.75, 15.75, 47.61, 36.23
Traj: 0	0.56, 1.29, 0.56, 1.28, 0.56, 1.28, 0.00, 0.00	-8.89, 7.18	15.75, 15.75, 47.59, 36.22
Traj: 0	0.56, 1.29, 0.56, 1.28, 0.56, 1.28, 0.00, 0.00	-8.89, 7.18	15.75, 15.75, 47.59, 36.22
Traj: 0	0.56, 1.29, 0.56, 1.28, 0.56, 1.28, 0.00, 0.00	-8.89, 7.17	15.75, 15.75, 47.58, 36.22
0,0,0,0,8,8,8,8,-2.72, -2.44, -1.18, -1.40, 	 0.02,  0.00,  0.00, -0.02, 	0.20, 0.20, 0.60, 0.46, 	0.56,1.29, 0.56,1.28, -0.06,0.04,0.00,-0.00
Traj: 0	0.56, 1.29, 0.56, 1.28, 0.56, 1.28, 0.00, 0.00	-8.88, 7.14	15.75, 15.75, 47.55, 36.23
Traj: 0	0.56, 1.29, 0.56, 1.28, 0.56, 1.28, 0.00, 0.00	-8.86, 7.13	15.75, 15.75, 47.53, 36.21
Traj: 0	0.56, 1.29, 0.56, 1.28, 0.56, 1.28, 0.00, 0.00	-8.85, 7.13	15.75, 15.75, 47.51, 36.20
Traj: 0	0.56, 1.29, 0.56, 1.28, 0.56, 1.28, 0.00, 0.00	-8.84, 7.12	15.75, 15.75, 47.50, 36.19
Traj: 0	0.56, 1.29, 0.56, 1.28, 0.56, 1.28, 0.00, 0.00	-8.83, 7.12	15.75, 15.75, 47.48, 36.18
0,0,0,0,8,8,8,8,-2.72, -2.44, -1.18, -1.40, 	 0.00,  0.00,  0.00,  0.00, 	0.20, 0.20, 0.60, 0.46, 	0.56,1.29, 0.56,1.28, -0.06,0.04,0.00,0.00
Traj: 0	0.56, 1.29, 0.56, 1.28, 0.56, 1.28, 0.00, 0.00	-8.79, 7.10	15.75, 15.75, 47.43, 36.15
Traj: 0	0.56, 1.29, 0.56, 1.28, 0.56, 1.28, 0.00, 0.00	-8.77, 7.11	15.75, 15.75, 47.40, 36.12
Traj: 0	0.56, 1.29, 0.56, 1.28, 0.56, 1.28, 0.00, 0.00	-8.77, 7.11	15.75, 15.75, 47.41, 36.12
